Značka;Řada;Produkt;Balení;Typ
L'Oréal;Vitamino Color Spectrum;Maska;250 ml;Retail
L'Oréal;Vitamino Color Spectrum;Neutraliz. šampon fialový;1500 ml;Salon
L'Oréal;Vitamino Color Spectrum;Neutraliz. šampon fialový;500 ml;Retail
L'Oréal;Vitamino Color Spectrum;Neutraliz. šampon modrý;1500 ml;Salon
L'Oréal;Vitamino Color Spectrum;Neutraliz. šampon modrý;500 ml;Retail
L'Oréal;Vitamino Color Spectrum;Neutraliz. šampon zelený;500 ml;Retail
L'Oréal;Vitamino Color Spectrum;Neutraliz. šampon zelený;300 ml;Retail
L'Oréal;Vitamino Color Spectrum;Šampon;1500 ml;Salon
L'Oréal;Vitamino Color Spectrum;Šampon;500 ml;Retail
L'Oréal;Vitamino Color Spectrum;Šampon;300 ml;Retail
L'Oréal;Air Light Pro;Fén Air Light Pro;1 ks;Elektro
L'Oréal;SteamPod;SteamPod 3.0;1 ks;Elektro
L'Oréal;SteamPod;SteamPod 4.0;1 ks;Elektro
L'Oréal;SteamPod;SteamPod 4 Meteora;1 ks;Elektro
L'Oréal;SteamPod;Profesionální vyhlazující péče;50 ml;Retail
L'Oréal;Hair Touch Up;Černá 1-3;75 ml;Sprej
L'Oréal;Hair Touch Up;Hnědá 3-5;75 ml;Sprej
L'Oréal;Hair Touch Up;Mahagon 5-6;75 ml;Sprej
L'Oréal;Hair Touch Up;Světle hnědá 5-6;75 ml;Sprej
L'Oréal;Hair Touch Up;Tmavá blond 6-7;75 ml;Sprej
L'Oréal;Hair Touch Up;Zlatá blond 7-9;75 ml;Sprej
L'Oréal;Homme;Clay;50 ml;Styling
L'Oréal;Infinium;Infinium Pure Extra Strong;300 ml;Lak
L'Oréal;Infinium;Infinium Pure Soft;300 ml;Lak
L'Oréal;Infinium;Infinium Pure Strong;300 ml;Lak
L'Oréal;Tecni.art;All-in-1 Performer;190 ml;Styling
L'Oréal;Tecni.art;Anti Frizz;250 ml;Lak
L'Oréal;Tecni.art;Fix Design;1000 ml;Salon
L'Oréal;Tecni.art;Fix Design;200 ml;Retail
L'Oréal;Tecni.art;Fix Max;200 ml;Gel
L'Oréal;Tecni.art;Fix Paste;75 ml;Pasta
L'Oréal;Tecni.art;Flex Blowdry;150 ml;Styling
L'Oréal;Tecni.art;Flex Curl Bounce;150 ml;Styling
L'Oréal;Tecni.art;Flex Depolish;100 ml;Pasta
L'Oréal;Tecni.art;Flex Liss Control;150 ml;Styling
L'Oréal;Tecni.art;Flex Pli;190 ml;Styling
L'Oréal;Tecni.art;Flex Waves;150 ml;Styling
L'Oréal;Tecni.art;Flex Web;190 ml;Styling
L'Oréal;Tecni.art;Volume Extra Full;250 ml;Pěna
L'Oréal;Tecni.art;Volume Dust;7 g;Pudr
L'Oréal;Tecni.art;Volume Panache;250 ml;Styling
L'Oréal;Tecni.art;Volume Rootlift;250 ml;Pěna
